,Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,Salary,ConvertedSalary,CurrencySymbol,CommunicationTools,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,WakeTime,HoursComputer,HoursOutside,SkipMeals,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,LnConvertedSalary
9962,14220,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Back-end developer;Front-end developer;Full-stack developer,3-5 years,0-2 years,Moderately satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,1.0,3.0,7.0,11.0,6.0,2.0,8.0,4.0,10.0,9.0,5.0,85000,85000.0,USD,"Jira;Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Four to six months,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers",4,4,3,C#;Java;JavaScript;Python;Ruby;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,C#;JavaScript;Python;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;Amazon RDS/Aurora,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;Amazon DynamoDB;Amazon RDS/Aurora,Amazon Echo;Arduino;AWS;Heroku;IBM Cloud or Watson;iOS;Raspberry Pi;Serverless;WordPress;Firebase,Amazon Echo;AWS;Azure;Heroku;IBM Cloud or Watson;iOS;Serverless,Angular;.NET Core;Node.js;React,Angular;.NET Core;Node.js;React,Atom;Visual Studio;Visual Studio Code,MacOS,1,No,"Yes, and publicly",The developer who wrote it,Yes,Between 5:00 - 6:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,3 - 4 times per week,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,45 - 54 years old,No,11.350406535472453
9971,14232,Yes,No,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Student;System administrator,0-2 years,0-2 years,Slightly satisfied,Moderately satisfied,Working as a product manager or project manager,1.0,5.0,11.0,8.0,10.0,3.0,2.0,7.0,6.0,9.0,4.0,25000,4692.0,INR,"Facebook;Jira;Stack Overflow Enterprise;Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",Immediately after graduating,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;To win prizes or cash awards;Because I find it enjoyable",5,4,2,C;C++;C#;Java;JavaScript;Python;SQL;VB.NET;HTML;CSS,C#;CoffeeScript;Go;Hack;Java;JavaScript;Python;R;SQL;Swift;TypeScript,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)","SQLite;Oracle;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",Linux;Windows Desktop or Server,Android;Apple Watch or Apple TV;Azure;Gaming console;Google Cloud Platform/App Engine;Google Home;IBM Cloud or Watson;iOS;Linux;Mac OS;Mainframe;Raspberry Pi;Serverless;SharePoint;Windows Desktop or Server;Windows Phone;WordPress;Firebase,.NET Core,Angular;.NET Core;Django;Hadoop;Node.js;React;Spark;Cordova;Xamarin;Spring;TensorFlow;Torch/PyTorch,Notepad++;PyCharm;Visual Studio;Visual Studio Code,Windows,1,Yes,"Yes, but only within the company",The person who came up with the idea,Yes,Between 5:00 - 6:00 AM,9 - 12 hours,1 - 2 hours,Never,I don't typically exercise,Male,Straight or heterosexual,They never completed any formal education,South Asian,18 - 24 years old,Yes,8.453614209773367
9976,14239,Yes,No,United States,No,Employed part-time,"Professional degree (JD, MD, etc.)","A health science (ex. nursing, pharmacy, radiology)",Full-stack developer,0-2 years,0-2 years,Moderately satisfied,Extremely satisfied,Working as a product manager or project manager,2.0,7.0,1.0,9.0,4.0,3.0,6.0,5.0,10.0,8.0,11.0,40000,2000000.0,USD,Slack,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,Immediately after graduating,To improve my ability to work on a team with other programmers;To build my professional network;Because I find it enjoyable,5,3,4,JavaScript;HTML;CSS,JavaScript;HTML;CSS,PostgreSQL,PostgreSQL,Heroku;Mac OS;Windows Desktop or Server;Firebase,Heroku;Mac OS;Windows Desktop or Server;Firebase,Angular;Node.js;React,Node.js;React,Visual Studio Code,MacOS,2,Depends on what it is,Depends on what it is,The person who came up with the idea,Yes,Between 7:01 - 8:00 AM,5 - 8 hours,30 - 59 minutes,Never,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Hispanic or Latino/Latina;White or of European descent,25 - 34 years old,No,14.508657738524219
10001,14280,Yes,Yes,Netherlands,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;DevOps specialist;Mobile developer,18-20 years,12-14 years,Extremely satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,9.0,5.0,10.0,7.0,2.0,8.0,6.0,11.0,4.0,3.0,88000,107701.0,EUR,Confluence;Jira;Slack;Trello,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology",4,1,4,Java;Python;Scala;SQL;Bash/Shell,Go;Java;Python;Scala;SQL;Kotlin,Cassandra;MySQL;PostgreSQL;Apache Hive;Google BigQuery;Elasticsearch,PostgreSQL;Apache Hive;Google BigQuery;Neo4j,Android;AWS;Serverless;Firebase,AWS;Google Cloud Platform/App Engine,Django;Hadoop;Node.js;Spark;Spring,Spark;TensorFlow,IntelliJ;IPython / Jupyter;Vim,MacOS,1,No,Depends on what it is,Upper management at the company/organization,Yes,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,1 - 2 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,35 - 44 years old,No,11.587114148152441
10057,14352,Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",Full-stack developer;System administrator,9-11 years,9-11 years,Moderately satisfied,Extremely satisfied,Working as an engineering manager or other functional manager,1.0,6.0,3.0,8.0,5.0,4.0,11.0,10.0,7.0,9.0,2.0,120000,2000000.0,USD,"Confluence;Google Hangouts/Chat;HipChat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",I already had a full-time job as a developer when I began the program,"To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",4,3,5,C#;Java;JavaScript;SQL;TypeScript,Python;Rust;Kotlin,MongoDB;Redis;SQL Server;Elasticsearch,"Cassandra;Microsoft Azure (Tables, CosmosDB, SQL, etc)",AWS;Azure;Linux;Windows Desktop or Server,Raspberry Pi,Angular;.NET Core;Node.js,React,IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Windows,2,Depends on what it is,"Yes, but only within the company",The developer who wrote it,Yes,Between 8:01 - 9:00 AM,Over 12 hours,1 - 2 hours,Daily or almost every day,Daily or almost every day,Male,Straight or heterosexual,"Professional degree (JD, MD, etc.)",White or of European descent,35 - 44 years old,No,14.508657738524219
10218,14574,Yes,Yes,Germany,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Desktop or enterprise applications developer,18-20 years,6-8 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,10.0,2.0,5.0,8.0,4.0,7.0,9.0,6.0,11.0,3.0,63000,77104.0,EUR,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.)","Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",I already had a full-time job as a developer when I began the program,To improve my general technical skills or programming ability;Because I find it enjoyable,4,5,5,Java;SQL;Bash/Shell,C#;F#,Cassandra;SQL Server;MySQL;Oracle,Cassandra;Elasticsearch,Linux;Windows Desktop or Server,Linux;Windows Desktop or Server,Spark;Spring,.NET Core;Spark;Spring,Eclipse;Notepad++;Visual Studio;Visual Studio Code,Windows,2,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,Between 6:01 - 7:00 AM,5 - 8 hours,1 - 2 hours,Never,3 - 4 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,11.252910438880114
10477,14962,Yes,Yes,Canada,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Front-end developer;Full-stack developer;System administrator,6-8 years,3-5 years,Moderately satisfied,Neither satisfied nor dissatisfied,Working as a founder or co-founder of my own company,1.0,7.0,5.0,8.0,2.0,11.0,6.0,4.0,9.0,10.0,3.0,2100,20292.0,CAD,Google Hangouts/Chat;Slack,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;To win prizes or cash awards",3,2,3,JavaScript;PHP;Python;R;SQL;HTML;CSS;Bash/Shell,Go;JavaScript;PHP;Python;R;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,MySQL;PostgreSQL;SQLite;MariaDB;Elasticsearch,MongoDB;MySQL;PostgreSQL;SQLite;MariaDB;Elasticsearch,Heroku;Mac OS,AWS;Heroku;IBM Cloud or Watson;Raspberry Pi,Angular;Django,Angular;Django;Node.js;React;TensorFlow,Atom;PHPStorm;PyCharm;Sublime Text,MacOS,2,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,Never,3 - 4 times per week,Male,Straight or heterosexual,Primary/elementary school,Hispanic or Latino/Latina,25 - 34 years old,No,9.91798199868658
10556,15067,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Full-stack developer;System administrator,18-20 years,12-14 years,Moderately dissatisfied,Moderately satisfied,Working as an engineering manager or other functional manager,1.0,9.0,2.0,6.0,10.0,3.0,11.0,4.0,7.0,8.0,5.0,103000,103000.0,USD,Slack,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",I already had a full-time job as a developer when I began the program,To improve my general technical skills or programming ability;To build my professional network,4,4,4,JavaScript;PHP;Python;SQL;HTML;CSS,C#;Go;JavaScript;PHP;Python;SQL;HTML;CSS,Redis;MySQL;MariaDB,MongoDB;MySQL;MariaDB,Drupal;Linux;Mac OS,Drupal;Linux;Mac OS,Node.js,Django;Node.js,Atom;PHPStorm;Sublime Text;Vim,MacOS,2,Depends on what it is,Depends on what it is,The person who came up with the idea,Yes,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,1 - 2 times per week,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",White or of European descent,35 - 44 years old,No,11.542484267211773
10611,15151,Yes,No,Singapore,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Full-stack developer,6-8 years,0-2 years,Moderately satisfied,Extremely satisfied,Working as a product manager or project manager,1.0,3.0,2.0,4.0,9.0,6.0,10.0,11.0,5.0,7.0,8.0,70000,52993.0,SGD,Jira;Slack,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees",Immediately after graduating,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To help me find new job opportunities;Because I find it enjoyable",3,4,4,C;C++;C#,Java;JavaScript,Elasticsearch,Cassandra,Windows Desktop or Server,AWS;Linux;Windows Desktop or Server,.NET Core,Node.js;Spring;TensorFlow,Eclipse;Visual Studio;Visual Studio Code,Windows,2,Depends on what it is,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,Between 9:01 - 10:00 AM,9 - 12 hours,3 - 4 hours,Never,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,25 - 34 years old,No,10.877915108339828
10637,15186,Yes,Yes,Denmark,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer;System administrator,12-14 years,3-5 years,Extremely satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,2.0,10.0,3.0,6.0,11.0,4.0,7.0,1.0,5.0,8.0,9.0,300000,591720.0,DKK,"Office / productivity suite (Microsoft Office, Google Suite, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology,I already had a full-time job as a developer when I began the program,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",4,3,5,Assembly;C;C++;C#;Java;JavaScript;Objective-C;Rust;SQL;Swift;TypeScript;VB.NET;HTML;CSS;Bash/Shell,Assembly;C;C#;JavaScript;Rust;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,"MongoDB;Redis;SQL Server;MySQL;MariaDB;Microsoft Azure (Tables, CosmosDB, SQL, etc)","MongoDB;Redis;SQL Server;MySQL;MariaDB;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Android;IBM Cloud or Watson;iOS;Linux;Mac OS;SharePoint;Windows Desktop or Server;Windows Phone;WordPress,Android;iOS;Linux;Mac OS;SharePoint;Windows Desktop or Server;Windows Phone,Angular;.NET Core;Node.js;React;Cordova;Xamarin,Angular;.NET Core;Xamarin,Android Studio;Atom;Notepad++;Sublime Text;Visual Studio;Visual Studio Code;Xcode,Windows,2,Depends on what it is,Depends on what it is,The developer who wrote it,Yes,Before 5:00 AM,Over 12 hours,3 - 4 hours,Never,Daily or almost every day,Male,Straight or heterosexual,They never completed any formal education,White or of European descent,18 - 24 years old,Yes,13.290788829006171
10870,15515,Yes,Yes,Switzerland,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Full-stack developer,9-11 years,9-11 years,Extremely satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,5.0,9.0,10.0,1.0,11.0,3.0,6.0,8.0,7.0,4.0,2.0,90000,93842.0,CHF,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow",Immediately after graduating,To improve my general technical skills or programming ability;Because I find it enjoyable,4,1,5,C#;Java;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,C#;Go;Rust;TypeScript;HTML;CSS;Bash/Shell,SQL Server,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",Android;Azure;Linux;Raspberry Pi;Windows Desktop or Server,Azure;Linux;Raspberry Pi;Serverless;Windows Desktop or Server,Angular;.NET Core;Node.js,Angular;.NET Core;Node.js;Xamarin,Notepad++;Visual Studio;Visual Studio Code,Windows,3,No,"Yes, and publicly",Upper management at the company/organization,Yes,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,Never,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,11.449367795973217
10892,15548,Yes,Yes,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer;Product manager,6-8 years,3-5 years,Slightly dissatisfied,Neither satisfied nor dissatisfied,Working as a product manager or project manager,1.0,2.0,8.0,7.0,9.0,4.0,5.0,10.0,6.0,3.0,11.0,625000,9784.0,INR,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Trello;Other chat system (IRC, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Pre-scheduled tutoring or mentoring sessions with a friend or colleague",Immediately after graduating,"To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;To help me find new job opportunities;Because I find it enjoyable",4,4,4,C;C++;Java;JavaScript;Matlab;Objective-C;PHP;Python;HTML;CSS,Go;Java;JavaScript;Python;TypeScript;Kotlin;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;SQLite;Oracle,MongoDB;Redis;PostgreSQL;Amazon DynamoDB;Apache HBase;Apache Hive;Amazon Redshift;Amazon RDS/Aurora;Google BigQuery;Google Cloud Storage;Elasticsearch,Android;SharePoint;Windows Desktop or Server;WordPress,Android;Google Home;Heroku;IBM Cloud or Watson;Linux;Salesforce;Serverless;SharePoint;Windows Desktop or Server,Node.js;Cordova;Spring,Angular;Hadoop;Node.js;React;Spring,Android Studio;Atom;Eclipse;IntelliJ;IPython / Jupyter;Notepad++;Sublime Text,Windows,1,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Unsure / I don't know,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,25 - 34 years old,No,9.188503677367008
11105,15846,Yes,No,Canada,No,Employed full-time,Some college/university study without earning a degree,Web development or web design,Back-end developer;Front-end developer;Full-stack developer,15-17 years,6-8 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,9.0,3.0,11.0,7.0,8.0,6.0,5.0,10.0,2.0,4.0,50000,40261.0,CAD,"Confluence;Google Hangouts/Chat;HipChat;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",I already had a full-time job as a developer when I began the program,"To improve my knowledge of a specific programming language, framework, or other technology",4,5,4,Java;JavaScript;SQL;CSS,JavaScript;SQL;CSS,SQL Server;Oracle;MariaDB,Oracle,Linux;Raspberry Pi;Windows Desktop or Server;WordPress,Arduino;Raspberry Pi;Windows Desktop or Server,Angular;.NET Core,Angular;Node.js;React,IntelliJ;Sublime Text,Windows,2,No,"Yes, and publicly",Upper management at the company/organization,Yes,Between 6:01 - 7:00 AM,Less than 1 hour,30 - 59 minutes,1 - 2 times per week,1 - 2 times per week,Male,Straight or heterosexual,Some college/university study without earning a degree,White or of European descent,25 - 34 years old,No,10.60313853743474
11118,15863,Yes,Yes,United States,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer;Student,12-14 years,6-8 years,Moderately satisfied,Moderately satisfied,Working as an engineering manager or other functional manager,1.0,2.0,5.0,11.0,9.0,6.0,8.0,3.0,10.0,7.0,4.0,5300,63600.0,USD,"Facebook;Google Hangouts/Chat;Slack;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",I already had a full-time job as a developer when I began the program,Because I find it enjoyable,4,4,5,Assembly;C;C++;Java;JavaScript;Matlab;Perl;PHP;Python;R;SQL;HTML;CSS;Bash/Shell,Assembly;C;C++;JavaScript;Matlab;PHP;Python;R;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;SQLite,MySQL;SQLite,Android;Arduino;AWS;Azure;Linux;Raspberry Pi;Windows Desktop or Server,Android;Arduino;AWS;Azure;Linux;Raspberry Pi;Windows Desktop or Server,.NET Core,.NET Core,Komodo;Notepad++;RStudio;Vim;Visual Studio,Windows,3,No,"Yes, and publicly",The developer who wrote it,Yes,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,I don't typically exercise,Male,Straight or heterosexual,Associate degree,White or of European descent,18 - 24 years old,No,11.060368749328214
11297,16120,Yes,Yes,Netherlands,No,Employed part-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",Back-end developer;Full-stack developer,21-23 years,9-11 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,1.0,7.0,10.0,6.0,9.0,2.0,11.0,5.0,8.0,3.0,4.0,70000,85671.0,EUR,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack","Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Immediately after graduating,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",5,2,5,Java;Scala;Bash/Shell,Clojure;Erlang;Haskell;R;Rust;Scala,MongoDB;Amazon DynamoDB;Memcached;Elasticsearch,Cassandra,AWS;Linux,Linux;Serverless,Angular,Spark;TensorFlow,IntelliJ;Notepad++;Vim,Windows,2,No,"Yes, and publicly",Upper management at the company/organization,Yes,Between 6:01 - 7:00 AM,5 - 8 hours,Less than 30 minutes,Never,I don't typically exercise,"Male;Non-binary, genderqueer, or gender non-conforming",Straight or heterosexual,Associate degree,White or of European descent,35 - 44 years old,Yes,11.358269657587524
